person,16
bicycle,-1
car,-1
motorcycle,-1
airplane,-1
bus,-1
train,-1
truck,-1
boat,-1
traffic light,-1
fire hydrant,-1
stop sign,-1
parking meter,-1
bench,31
bird,-1
cat,-1
dog,-1
horse,-1
sheep,-1
cow,-1
elephant,-1
bear,-1
zebra,-1
giraffe,-1
backpack,20
umbrella,31
handbag,20
tie,31
suitcase,31
frisbee,31
skis,31
snowboard,31
sports ball,31
kite,31
baseball bat,31
baseball glove,31
skateboard,31
surfboard,31
tennis racket,31
bottle,21
wine glass,31
cup,22
fork,31
knife,31
spoon,31
bowl,31
banana,31
apple,31
sandwich,31
orange,31
broccoli,31
carrot,31
hot dog,31
pizza,31
donut,31
cake,31
chair,5
couch,6
potted plant,-1
bed,4
dining table,7
toilet,17
tv,15
laptop,26
mouse,24
remote,31
keyboard,23
cell phone,30
microwave,31
oven,31
toaster,31
sink,18
refrigerator,14
book,25
clock,29
vase,31
scissors,31
teddy bear,31
hair drier,31
toothbrush,31
banner,-1
blanket,27
branch,-1
bridge,-1
building-other,31
bush,-1
cabinet,3
cage,-1
cardboard,31
carpet,31
ceiling-other,13
ceiling-tile,13
cloth,31
clothes,31
clouds,-1
counter,10
cupboard,31
curtain,12
desk-stuff,7
dirt,2
door-stuff,8
fence,31
floor-marble,2
floor-other,2
floor-stone,2
floor-tile,2
floor-wood,2
flower,31
fog,-1
food-other,31
fruit,31
furniture-other,31
grass,31
gravel,2
ground-other,-1
hill,-1
house,31
leaves,-1
light,19
mat,31
metal,31
mirror-stuff,31
moss,-1
mountain,-1
mud,-1
napkin,31
net,31
paper,31
pavement,2
pillow,28
plant-other,-1
plastic,31
platform,2
playingfield,2
railing,31
railroad,2
river,-1
road,2
rock,-1
roof,31
rug,2
salad,31
sand,2
sea,-1
shelf,11
sky-other,-1
skyscraper,-1
snow,2
solid-other,31
stairs,31
stone,-1
straw,31
structural-other,-1
table,7
tent,31
textile-other,31
towel,31
tree,31
vegetable,31
wall-brick,1
wall-concrete,1
wall-other,1
wall-panel,1
wall-stone,1
wall-tile,1
wall-wood,1
water-other,-1
waterdrops,31
window-blind,9
window-other,9
wood,-1
